probmu ratio error
1.13 6.615246499556951e-10 1.2994030898905147e-10
1.14 7.3774862749437e-10 1.3931657273000824e-10
1.15 6.820529537823743e-10 1.3260170889369215e-10
1.16 6.842801495977464e-10 1.3299654464949245e-10
1.17 6.852957718739426e-10 1.3320015557018382e-10
1.18 9.246580895678811e-10 1.967802856750845e-10
1.19 9.237179535302354e-10 2.0408428853888204e-10
1.2 7.075192556321501e-10 1.3617111316705098e-10
1.21 6.698494885937243e-10 1.316283388025162e-10
1.22 7.286115528651815e-10 1.3888092705315885e-10
1.23 6.914276625558445e-10 1.3441759094519667e-10
1.24 9.503017032937758e-10 2.04905324371013e-10
1.25 6.743098062250938e-10 1.3246400921718726e-10
1.26 8.688410073776406e-10 1.5600026518699407e-10
1.27 6.769093836986458e-10 1.3299499595598547e-10
1.28 6.972712635689352e-10 1.355656939471259e-10
1.29 8.344976006577e-10 1.5221791446096663e-10
1.3 6.803412375683027e-10 1.3364491186791994e-10
1.31 7.206431795854491e-10 1.387019457683977e-10
1.32 7.411670676306297e-10 1.4126517114695192e-10
1.33 1.1724529665534565e-09 1.915309564769197e-10
1.34 8.403586965996511e-10 1.744537518456876e-10
1.35 6.66277330960377e-10 1.3232304791609878e-10
1.36 1.1774810647444004e-09 1.9235705494378344e-10
1.37 7.275655617139547e-10 1.4003363310760043e-10
1.38 9.072619842697794e-10 1.616460683703946e-10
1.39 6.909886970758225e-10 1.3572383917101072e-10
1.4 7.318992913330287e-10 1.408532317257855e-10
1.41 6.927910799323784e-10 1.3609080731621835e-10
1.42 8.333258726123025e-10 1.5334145316431236e-10
1.43 6.95360299426102e-10 1.366004481355281e-10
1.44 7.956599598034198e-10 1.48895087668233e-10
1.45 6.776931001617171e-10 1.3457015815441423e-10
1.46 6.997116510251969e-10 1.3743484186396798e-10
1.47 7.407415023744278e-10 1.4275097975192938e-10
1.48 1.1198605022835707e-09 2.2961164058953184e-10
1.49 1.125315243783593e-09 1.8787575880640628e-10
1.5 1.1282037010410738e-09 1.883396366672433e-10
1.51 7.863758922419067e-10 1.4850131420334092e-10
1.52 9.704422514985486e-10 2.0739702043688316e-10
1.53 6.884896772430747e-10 1.367041082448439e-10
1.54 7.298933536241894e-10 1.419030707787564e-10
1.55 6.90734214215797e-10 1.3716208288966518e-10
1.56 7.737071362943549e-10 1.4747147866767064e-10
1.57 7.131479750989829e-10 1.4013976184795e-10
1.58 1.1036144701967757e-09 1.8642575656353626e-10
1.59 8.55313965743162e-10 1.898473148619256e-10
1.6 1.1079953575623414e-09 1.871818694825598e-10
1.61 7.820285594816547e-10 1.4905596393885385e-10
1.62 7.00706281831381e-10 1.3914060602998638e-10
1.63 7.433448608709401e-10 1.445175627230257e-10
1.64 9.717957031548116e-10 1.9413797568927078e-10
1.65 7.668475408474687e-10 1.4760084882570175e-10
1.66 7.064733540267413e-10 1.4025596328457584e-10
1.67 7.072799417899385e-10 1.4044054331014632e-10
1.68 7.929139322719231e-10 1.5112422692611926e-10
1.69 8.14566551304229e-10 1.5382488560669393e-10
1.7 8.577377513028342e-10 1.5910918290496e-10
1.71 1.1669923171942916e-09 2.3595750350461615e-10
1.72 6.933720063501471e-10 1.3921959043517062e-10
1.73 1.177839176770816e-09 1.966581563595122e-10
1.74 6.963497990598085e-10 1.3983126651273684e-10
1.75 7.615902380646238e-10 1.48037112021595e-10
1.76 1.0981246332559612e-09 2.1345837831718353e-10
1.77 8.065763749783521e-10 1.5374408329556398e-10
1.78 7.656735082924789e-10 1.4885069474405964e-10
1.79 7.463226313157484e-10 1.465938739151479e-10
1.8 9.60519474956765e-10 1.7247120197403204e-10
1.81 1.2045328561785233e-09 2.5289042745821377e-10
1.82 1.1799860611274515e-09 1.9813713162582074e-10
1.83 1.138573560463177e-09 2.2862719549843648e-10
1.84 1.1091990654445282e-09 2.2210261235921938e-10
1.85 7.348583722379436e-10 1.59803515001548e-10
1.86 7.806057738572293e-10 1.5172791354846847e-10
1.87 8.88628875849436e-10 1.836767866120472e-10
1.88 9.13689385183407e-10 1.6805727803405219e-10
1.89 8.086518130462273e-10 1.5560666296555008e-10
1.9 7.880882187152173e-10 1.532148504795196e-10
1.91 7.676424595577145e-10 1.5079803132864593e-10
1.92 7.461150547215907e-10 1.6564824172247858e-10
1.93 7.276779167183914e-10 1.461094721572357e-10
1.94 7.734423393724322e-10 1.5193641347779633e-10
1.95 8.415626520986587e-10 1.604140169542161e-10
1.96 7.335609970408237e-10 1.47273224685899e-10
1.97 8.012912405794364e-10 1.5578583306313911e-10
1.98 7.586950959186154e-10 1.5065242996032866e-10
1.99 7.614084697618322e-10 1.520999609112947e-10
2.0 8.301190382104777e-10 1.5977021563166082e-10
2.01 8.546202884118034e-10 1.628994921516572e-10
2.02 7.445221989789107e-10 1.4948489225224494e-10
2.03 8.135405017302915e-10 1.5816340260109257e-10
2.04 7.473318664809105e-10 1.5007528178139976e-10
2.05 1.1999553624494545e-09 2.462360845889648e-10
2.06 7.965462928668145e-10 1.5646762246986776e-10
2.07 7.981576489083832e-10 1.567823798539257e-10
2.08 7.540288288028354e-10 1.5147811598576262e-10
2.09 7.558433223968001e-10 1.5177734324824922e-10
2.1 8.961837750426496e-10 1.6920376946061655e-10
2.11 9.437698911347562e-10 1.7504437715388254e-10
2.12 8.550379739747972e-10 1.64528381733737e-10
2.13 8.332925662114859e-10 1.619974129388884e-10
2.14 8.112361993516418e-10 1.5936526477766446e-10
2.15 7.66880276433095e-10 1.5398820472034028e-10
2.16 8.850259713847912e-10 1.6875280812346356e-10
2.17 1.2369490480017325e-09 2.1032274655491833e-10
2.18 7.724355169342881e-10 1.5510348965022706e-10
2.19 8.205535602887684e-10 1.6119649940167262e-10
2.2 8.692285122932864e-10 1.6732567891339465e-10
2.21 8.013445135059431e-10 1.5911529421666941e-10
2.22 8.045232484575423e-10 1.5971053714068047e-10
2.23 1.2793826525948027e-09 2.16143936831418e-10
2.24 8.075940154395811e-10 1.6036219249414994e-10
2.25 7.857942409707344e-10 1.5778633323449182e-10
2.26 8.597140864775052e-10 1.6723502851850897e-10
2.27 8.601517115391285e-10 1.672366614193594e-10
2.28 8.620231904917141e-10 1.6759122506928257e-10
2.29 8.880552081412417e-10 1.7092673146655363e-10
2.3 9.383081774188786e-10 1.7719617827104072e-10
2.31 7.961325460617051e-10 1.5986179689493834e-10
2.32 8.469441639285815e-10 1.6636798839113617e-10
2.33 9.703288009609832e-10 1.8158501247811115e-10
2.34 8.515502618216043e-10 1.672722803886184e-10
2.35 9.035890477807444e-10 1.7388053899638603e-10
2.36 8.574585454154437e-10 1.6840142906427889e-10
2.37 9.31596222388394e-10 1.7758304570501732e-10
2.38 8.355154897913199e-10 1.6591076067426263e-10
2.39 7.88782991435166e-10 1.602279894845608e-10
2.4 8.158667404115287e-10 1.6381931401453598e-10
2.41 8.17925782120837e-10 1.6424328603429342e-10
2.42 7.951602169096358e-10 1.6153385080570235e-10
2.43 1.022457364087343e-09 1.896523030669981e-10
2.44 8.496416794850385e-10 1.687220659267189e-10
2.45 8.530353805321007e-10 1.704415975962878e-10
2.46 1.2866127138606978e-09 2.7060013698584735e-10
2.47 8.322280794954627e-10 1.6711605801802703e-10
2.48 1.2533909930773555e-09 2.532305128733506e-10
2.49 8.871772020802002e-10 1.7425580537065728e-10
2.5 8.374374711222005e-10 1.6815484302137667e-10
2.51 1.399600710423112e-09 2.350419994772878e-10
2.52 8.691211967298849e-10 1.7260176848371384e-10
2.53 1.4554588248300918e-09 2.7755666271312654e-10
2.54 1.3872509225956898e-09 2.343506792412176e-10
2.55 8.496318217241928e-10 1.7060680405784883e-10
2.56 8.523193830009473e-10 1.7119517967788232e-10
2.57 1.0349792583221904e-09 1.9368747870285065e-10
2.58 1.3027480834767642e-09 2.7940437387980713e-10
2.59 8.843510736786857e-10 1.7560025673055952e-10
2.6 8.867212947661442e-10 1.7610209261303602e-10
2.61 1.4734179379604997e-09 3.013424570684122e-10
2.62 8.678057764162864e-10 1.7420941162220954e-10
2.63 8.951165136810999e-10 1.7773748444804653e-10
2.64 9.506756796067425e-10 1.859429374945948e-10
2.65 1.3757649898065763e-09 2.3529484960054364e-10
2.66 1.008248004734771e-09 1.921751195561319e-10
2.67 8.77481896062769e-10 1.7619656406948103e-10
2.68 9.594398660300178e-10 1.86538204390093e-10
2.69 8.817962043450123e-10 1.7706813134222204e-10
2.7 1.3580030659851303e-09 2.9244245436873836e-10
2.71 9.666003977073524e-10 1.8793607942551904e-10
2.72 9.155150470846668e-10 1.8179694503165925e-10
2.73 9.449273342590137e-10 1.8562915593072012e-10
2.74 9.751329617677777e-10 1.8957754374824227e-10
2.75 9.777882112297174e-10 1.9010404562792448e-10
2.76 1.061687644918127e-09 2.0049271997190573e-10
2.77 9.827881438488311e-10 1.9106842752409933e-10
2.78 9.858483860458959e-10 1.9166433242820052e-10
2.79 9.613710918061206e-10 1.888580002357845e-10
2.8 1.0195944342786549e-09 1.962449747950955e-10
2.81 9.12042431343646e-10 1.8639994380308887e-10
2.82 8.879048221585423e-10 1.804160800720336e-10
2.83 8.902408326032962e-10 1.808492177327744e-10
2.84 1.4965600786084465e-09 3.119278217459132e-10
2.85 1.2040799024319571e-09 2.2018042062331173e-10
2.86 1.0672077110202065e-09 2.03435085146843e-10
2.87 9.857313786485577e-10 1.9365681085303061e-10
2.88 9.033771528868893e-10 1.835047704891421e-10
2.89 9.043237959918892e-10 1.8371101740508877e-10
2.9 9.36387590707049e-10 1.8800942026853796e-10
2.91 9.092832401592641e-10 1.8472119915264554e-10
2.92 9.399652273360097e-10 1.8874866439853314e-10
2.93 9.992556182966213e-10 1.9629664994762093e-10
2.94 1.087825664444079e-09 2.0736867945106675e-10
2.95 9.179111801846607e-10 1.8646939848886442e-10
2.96 9.498455693881042e-10 1.9073960742239274e-10
2.97 9.519972621712393e-10 1.9117236522980172e-10
2.98 9.263264232722398e-10 1.8840741525431648e-10
2.99 9.290376037202192e-10 1.8873190650696944e-10
3.0 9.316914573454172e-10 1.892696581982466e-10
3.01 9.34412989420319e-10 1.8983130138785661e-10
3.02 9.37703724508467e-10 1.9049333659167774e-10
3.03 9.105090345892106e-10 1.872175625377801e-10
3.04 9.426016960614407e-10 1.9148643128386728e-10
3.05 9.15686800483953e-10 1.8829952850726528e-10
3.06 9.789167921101056e-10 1.9656793209046592e-10
3.07 9.512075737972737e-10 1.9323606461980747e-10
3.08 1.5207142992474763e-09 2.6176360947943936e-10
3.09 9.563452645606097e-10 1.9427802037153145e-10
3.1 9.288967863179617e-10 1.9099443433370727e-10
3.11 1.0217042274243673e-09 2.028898017359352e-10
3.12 9.643586463392803e-10 1.9591728469860024e-10
3.13 9.68059013629382e-10 1.9667098161755396e-10
3.14 1.0011563067070512e-09 2.0103406392502398e-10
3.15 1.0358737301110671e-09 2.0571132757984415e-10
3.16 9.762117988540284e-10 1.9831410769601141e-10
3.17 9.476693872953422e-10 1.9485728959752298e-10
3.18 1.042327576308751e-09 2.1283419209499993e-10
3.19 1.2311527550987412e-09 2.3039620274761601e-10
3.2 1.049556937529248e-09 2.0841455693615814e-10
3.21 1.052140557833495e-09 2.08926731632478e-10
3.22 1.085881954727989e-09 2.1332477778423893e-10
3.23 9.965420434077297e-10 2.0244601869141375e-10
3.24 1.0312681939574859e-09 2.0708296599383693e-10
3.25 1.0013881506207784e-09 2.0344351970419301e-10
3.26 1.0046790253644301e-09 2.04096637988972e-10
3.27 1.0082457428336662e-09 2.0481934207375798e-10
3.28 1.0422842150402402e-09 2.0929809280814168e-10
3.29 1.0146103350197901e-09 2.0612382042521288e-10
3.3 1.0504406246360676e-09 2.1094325750100025e-10
3.31 1.1503051040405724e-09 2.236363069040285e-10
3.32 9.946101223087652e-10 2.04505849751385e-10
3.33 1.0312344436965137e-09 2.0950193151757623e-10
3.34 1.0992865952915192e-09 2.1829081850332006e-10
3.35 1.102690139784287e-09 2.189682542942454e-10
3.36 1.0404818969415389e-09 2.1137620472919508e-10
3.37 1.0433581060275828e-09 2.11957076315627e-10
3.38 1.1125650538530095e-09 2.2092265919080316e-10
3.39 1.1163321011681604e-09 2.2168280299390187e-10
3.4 1.0542372479157737e-09 2.141826825499053e-10
3.41 1.0596485994010585e-09 2.2168724778597327e-10
3.42 1.0611658202628802e-09 2.1557195503364212e-10
3.43 1.1984950568124416e-09 2.330049977926357e-10
3.44 1.1695656850122206e-09 2.2975386568145497e-10
3.45 1.0735452980734627e-09 2.1809736360193032e-10
3.46 1.0427269240455817e-09 2.143983917999246e-10
3.47 1.1141118849258795e-09 2.237145356224823e-10
3.48 1.1175775501357488e-09 2.2442354801035234e-10
3.49 1.087045727635349e-09 2.2084424186272226e-10
3.5 1.1254430334329888e-09 2.2597343031699443e-10
3.51 1.2308102452860878e-09 2.3928758292717353e-10
3.52 1.2353230038369608e-09 2.401715907879595e-10
3.53 1.0659724306303026e-09 2.1918716711874027e-10
3.54 1.1056323099916233e-09 2.245883105433534e-10
3.55 1.2461177068055773e-09 2.4226794557858655e-10
3.56 1.250763777070013e-09 2.4316596773246404e-10
3.57 1.1499615467763594e-09 2.3099971314576914e-10
3.58 1.1880779236711768e-09 2.381401348468908e-10
3.59 1.2270472125423878e-09 2.4105831859515326e-10
3.6 1.3356495683144944e-09 2.546008168137358e-10
3.61 1.127946515264618e-09 2.291380506633077e-10
3.62 1.1335984639770487e-09 2.3025575576261115e-10
3.63 1.2423335382639316e-09 2.440488335610347e-10
3.64 1.2113064065161754e-09 2.4053018507074513e-10
3.65 1.2166549919543515e-09 2.416693486384678e-10
3.66 1.1150942227318185e-09 2.2927684843031398e-10
3.67 1.1186293063783524e-09 2.303339898831988e-10
3.68 1.2312650720274403e-09 2.4514414007136473e-10
3.69 1.1992203457662694e-09 2.4080773917363135e-10
3.7 1.1667277023113995e-09 2.3701589682579863e-10
3.71 1.2805719930093292e-09 2.5156251906479086e-10
3.72 1.3954136574653304e-09 2.65976938970587e-10
3.73 1.1789465224974096e-09 2.3950236046294183e-10
3.74 1.146182019180482e-09 2.3569679536761904e-10
3.75 1.2624250882600336e-09 2.5068682240378566e-10
3.76 1.1914319225349442e-09 2.420367919721698e-10
3.77 1.1596384065546597e-09 2.3838188765289026e-10
3.78 1.1984494617251584e-09 2.4346308511461817e-10
3.79 1.2015085690104574e-09 2.4418737879265e-10
3.8 9.432223998566586e-10 2.109440140237653e-10
3.81 9.451397781654114e-10 2.1137282194500917e-10
3.82 9.482238508609886e-10 2.1206254819893431e-10
