probk ratio error
-2.66 6.802716610401534e-10 1.3093139049648168e-10
-2.65 6.435428001685522e-10 1.264171103014445e-10
-2.64 7.73326431750228e-10 1.4227078620917817e-10
-2.63 6.627466661559464e-10 1.2932085645201918e-10
-2.62 7.178504361330969e-10 1.355442743864396e-10
-2.61 1.0302995267293798e-09 1.7202448670542638e-10
-2.6 7.369433826943358e-10 1.3788032682347116e-10
-2.59 7.548075796005547e-10 1.4000968844946683e-10
-2.58 7.003459214788606e-10 1.3347052744733305e-10
-2.57 9.756959147843004e-10 1.9457422068124482e-10
-2.56 6.628284951383628e-10 1.2887368943738288e-10
-2.55 7.227886705875923e-10 1.6156070602609684e-10
-2.54 6.459445624563261e-10 1.268545029018601e-10
-2.53 6.461262174480284e-10 1.2688986775372886e-10
-2.52 6.453074399577653e-10 1.2676156962528682e-10
-2.51 1.010036097803618e-09 1.9328656900709097e-10
-2.5 6.830200960345735e-10 1.3143556060764994e-10
-2.49 1.0327735299438027e-09 1.7243703998666013e-10
-2.48 7.192900832747898e-10 1.3583691830010592e-10
-2.47 1.0259301388792834e-09 2.1076533213855842e-10
-2.46 7.344533262760572e-10 1.631564036393442e-10
-2.45 7.017405428154869e-10 1.3374879796720807e-10
-2.44 6.829461368469985e-10 1.314486173295172e-10
-2.43 7.580974263192771e-10 1.6802122355873372e-10
-2.42 7.912111323415559e-10 1.6798446905669073e-10
-2.41 6.650132979232643e-10 1.292811869108145e-10
-2.4 7.575697675638325e-10 1.4052497584029952e-10
-2.39 6.650958547951825e-10 1.2930666788596639e-10
-2.38 7.623067161646012e-10 1.6179939641669452e-10
-2.37 6.469832293250595e-10 1.2709830712186117e-10
-2.36 7.957518583747219e-10 1.4514049347564317e-10
-2.35 7.720616524190777e-10 1.7091481801931892e-10
-2.34 8.13908718208676e-10 1.4728830085879123e-10
-2.33 7.589316783901924e-10 1.4077739650242935e-10
-2.32 7.772945238991295e-10 1.4299690508887152e-10
-2.31 7.341912337791934e-10 1.6234021485061165e-10
-2.3 6.481045690600249e-10 1.2731759078710663e-10
-2.29 1.019431187635291e-09 1.7118717612877427e-10
-2.28 6.68099086623149e-10 1.2985469932738258e-10
-2.27 7.053814415015095e-10 1.3871284314740027e-10
-2.26 6.494813592580041e-10 1.2757766535819596e-10
-2.25 8.137229270618055e-10 1.789753917173955e-10
-2.24 6.684189910027782e-10 1.2992596190478217e-10
-2.23 6.493710863276041e-10 1.2756174410618158e-10
-2.22 6.678073483903894e-10 1.2984620647045806e-10
-2.21 6.497743871274418e-10 1.2764121064230686e-10
-2.2 1.0766461318522629e-09 1.77765754954736e-10
-2.19 6.878874847710972e-10 1.3236699401406397e-10
